vendor,productName,EOL_Date,resource,Recommended_replacement
Palo Alto,M-500,2025-02-28,https://www.paloaltonetworks.com/content/pan/en_US/products/management/panorama.html | https://www.paloaltonetworks.com/resources/datasheets/panorama-centralized-management-datasheet,M-300 | M-700
Palo Alto,"PA-3000 Series | (PA-3020, PA-3050, PA-3060)",2024-10-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-3000-series,PA-3400 Series
Palo Alto,"PA-5000 Series | (PA-5020, PA-5050, PA-5060)",2024-01-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-5000-series,PA-5400 Series
Palo Alto,PA-7000-20G-NPC | PA-7000-20GQ-NPC,2024-01-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-7000-series.html | https://www.paloaltonetworks.com/products/product-selection,PA-7000-100G-NPC-A | PA-7000-DPC-A
Palo Alto,PA-200,2023-10-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-200,PA-400 Series
Palo Alto,PA-500,2023-10-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-500 | https://www.paloaltonetworks.com/content/dam/pan/en_US/assets/pdf/datasheets/pa-500/pa-500-ds.pdf,PA-400 Series
Palo Alto,M-100,2023-10-31,https://www.paloaltonetworks.com/content/pan/en_US/products/management/panorama | https://www.paloaltonetworks.com/resources/datasheets/panorama-centralized-management-datasheet,M-300
Palo Alto,"PA-2000 Series | (PA-2020, PA-2050)",2020-04-30,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-2000-series.html | https://www.paloaltonetworks.com/content/dam/pan/en_US/assets/pdf/datasheets/pa-2000-series/pa-2000.pdf,PA-1400 Series
Palo Alto,"PA-4000 Series | (PA-4020, PA-4050, PA-4060)",2019-04-30,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/next-generation-firewall/pa-4000-series.html | https://www.paloaltonetworks.com/content/dam/pan/en_US/assets/pdf/datasheets/pa-4000-series/pa-4000.pdf,PA-1400 Series
Palo Alto,GP-100,2021-04-30,https://www.paloaltonetworks.com/content/pan/en_US/products/globalprotect/subscription | https://www.paloaltonetworks.com/resources/datasheets/globalprotect-datasheet,
Palo Alto,"LightCyber Magna Detector | (D-300, D-500, D-1000)",2020-12-31,https://www.paloaltonetworks.com/resources/datasheets/cortex-xdr,
Palo Alto,LightCyber Magna Probe | (P-50T),2020-12-31,https://www.paloaltonetworks.com/resources/datasheets/cortex-xdr,
Palo Alto,LightCyber Magna Master (M-100),2020-12-31,https://www.paloaltonetworks.com/resources/datasheets/cortex-xdr,
